tissue	ontologyId	gencodeId	geneSymbol	mean_tpm	freq	freq_log
Cervix Ectocervix	UBERON:0012249	ENSG00000173369.17	C1QB	47.1028041666667	0.00657965832203493	-0.0476878608366635
Testis	UBERON:0000473	ENSG00000173369.17	C1QB	17.3551892270531	0.00242429760283956	-0.0210628247905072
Skin Sun Exposed Lower leg	UBERON:0004264	ENSG00000173369.17	C1QB	25.6057812068966	0.00357679960653785	-0.0290690617070007
Adipose Subcutaneous	UBERON:0002190	ENSG00000173369.17	C1QB	236.680095518207	0.0330611773054148	-0.162618610888677
Small Intestine Terminal Ileum	UBERON:0001211	ENSG00000173369.17	C1QB	232.897103381643	0.0325327417667265	-0.160775631346652
Artery Coronary	UBERON:0001621	ENSG00000173369.17	C1QB	298.989968656716	0.0417650683495675	-0.191349141101185
Brain Cerebellum	UBERON:0002037	ENSG00000173369.17	C1QB	10.3891515789474	0.00145123138324061	-0.0136829448559879
Esophagus Gastroesophageal Junction	UBERON:0004550	ENSG00000173369.17	C1QB	110.155589354839	0.0153873246622998	-0.0926642197692301
Muscle Skeletal	UBERON:0011907	ENSG00000173369.17	C1QB	10.9405857579462	0.0015282596737871	-0.0142951798876643
Brain Nucleus accumbens basal ganglia	UBERON:0001882	ENSG00000173369.17	C1QB	45.0317634035088	0.0062903604589105	-0.0459991515323761
Bladder	UBERON:0001255	ENSG00000173369.17	C1QB	145.482988181818	0.0203221097096044	-0.114226636364175
Cervix Endocervix	UBERON:0000458	ENSG00000173369.17	C1QB	70.468447826087	0.0098435394109278	-0.0656230100255923
Spleen	UBERON:0002106	ENSG00000173369.17	C1QB	1855.4044833935	0.259176237293749	-0.504873922317014
Brain Substantia nigra	UBERON:0002038	ENSG00000173369.17	C1QB	111.729292786885	0.015607150871509	-0.0936686413644413
Brain Hypothalamus	UBERON:0001898	ENSG00000173369.17	C1QB	64.8211980155642	0.00905469095763951	-0.0614552639760206
Brain Caudate basal ganglia	UBERON:0001873	ENSG00000173369.17	C1QB	52.5995673666667	0.00734748572367251	-0.0520828996773756
Breast Mammary Tissue	UBERON:0008367	ENSG00000173369.17	C1QB	130.010627879377	0.0181608191871705	-0.105024506057407
Minor Salivary Gland	UBERON:0006330	ENSG00000173369.17	C1QB	80.2801770718232	0.011214112291405	-0.0726510836624193
Heart Atrial Appendage	UBERON:0006631	ENSG00000173369.17	C1QB	63.5737042950108	0.00888043206615012	-0.0605215157928121
Adrenal Gland	UBERON:0002369	ENSG00000173369.17	C1QB	242.149769084746	0.033825220632295	-0.16526180324642
Colon Transverse	UBERON:0001157	ENSG00000173369.17	C1QB	152.594778956159	0.0213155357737382	-0.118342807412361
Stomach	UBERON:0000945	ENSG00000173369.17	C1QB	81.1067083292383	0.0113295681196192	-0.0732316468742166
Artery Tibial	UBERON:0007610	ENSG00000173369.17	C1QB	81.1596552677279	0.0113369641286387	-0.0732687792584941
Brain Cerebellar Hemisphere	UBERON:0002037	ENSG00000173369.17	C1QB	15.9915440794224	0.00223381384496892	-0.0196715797344848
Artery Aorta	UBERON:0001496	ENSG00000173369.17	C1QB	296.150044279661	0.0413683672955215	-0.190101223604435
Heart Left Ventricle	UBERON:0006566	ENSG00000173369.17	C1QB	26.183703340708	0.00365752792504232	-0.0296073791459301
Brain Anterior cingulate cortex BA24	UBERON:0009835	ENSG00000173369.17	C1QB	36.2629057939914	0.00506546338609397	-0.0386246143756403
Cells EBV-transformed lymphocytes	EFO:0000572	ENSG00000173369.17	C1QB	3.99492348623853	0.000558039633248066	-0.00603092672319931
Colon Sigmoid	UBERON:0001159	ENSG00000173369.17	C1QB	115.269905322196	0.0161017290849552	-0.0959122127023454
Fallopian Tube	UBERON:0003889	ENSG00000173369.17	C1QB	143.676196551724	0.0200697240651517	-0.11316987069298
Cells Cultured fibroblasts	EFO:0002009	ENSG00000173369.17	C1QB	0.296993082822086	4.14861289799816e-05	-0.000603914053626043
Brain Hippocampus	UBERON:0001954	ENSG00000173369.17	C1QB	47.1030779215686	0.00657969656208774	-0.047688082822938
Pancreas	UBERON:0001150	ENSG00000173369.17	C1QB	21.9255176243094	0.00306271393081521	-0.0255766433786319
Lung	UBERON:0008952	ENSG00000173369.17	C1QB	564.354468543046	0.0788330894778156	-0.28892759888196
Brain Amygdala	UBERON:0001876	ENSG00000116717.13	GADD45A	42.5434859668508	0.00786275164065707	-0.0549665310296239
Brain Cortex	UBERON:0001870	ENSG00000116717.13	GADD45A	38.1198512592593	0.00704518955649018	-0.0503670870513548
Kidney Medulla	UBERON:0001293	ENSG00000116717.13	GADD45A	123.895781818182	0.0228980239776414	-0.124762931044122
Uterus	UBERON:0000995	ENSG00000116717.13	GADD45A	152.440643137255	0.0281735943750402	-0.145080277979319
Skin Not Sun Exposed Suprapubic	UBERON:0036149	ENSG00000116717.13	GADD45A	90.5313583717358	0.0167317174507731	-0.0987383931050827
Whole Blood	UBERON:0013756	ENSG00000116717.13	GADD45A	96.2075005479452	0.0177807639779751	-0.103369162642595
Kidney Cortex	UBERON:0001225	ENSG00000116717.13	GADD45A	163.339091346154	0.0301878108781708	-0.152445125745127
Brain Frontal Cortex BA9	UBERON:0009834	ENSG00000116717.13	GADD45A	48.9689375092937	0.00905028313952556	-0.0614317051797385
Vagina	UBERON:0000996	ENSG00000116717.13	GADD45A	107.16242	0.0198054173164915	-0.112058280536761
Prostate	UBERON:0002367	ENSG00000116717.13	GADD45A	56.6115343262411	0.0104627635532875	-0.0688302549696045
Esophagus Mucosa	UBERON:0006920	ENSG00000116717.13	GADD45A	63.4098910423453	0.0117192141992212	-0.0751785288389069
Liver	UBERON:0001114	ENSG00000116717.13	GADD45A	71.2824404961832	0.0131741937272869	-0.082287878425513
Pituitary	UBERON:0000007	ENSG00000116717.13	GADD45A	42.1045408945687	0.00778162720976455	-0.0545158423687868
Thyroid	UBERON:0002046	ENSG00000116717.13	GADD45A	127.202829824561	0.0235092220623059	-0.127199687822798
Esophagus Muscularis	UBERON:0004648	ENSG00000116717.13	GADD45A	57.0512734402852	0.0105440347364507	-0.0692472012077058
Brain Spinal cord cervical c-1	UBERON:0006469	ENSG00000116717.13	GADD45A	39.4891683333333	0.00729826237894636	-0.0518047542104727
Brain Putamen basal ganglia	UBERON:0001874	ENSG00000116717.13	GADD45A	49.2625743700787	0.00910455216935293	-0.0617215457273325
Adipose Visceral Omentum	UBERON:0010414	ENSG00000116717.13	GADD45A	178.255149744463	0.0329445493065833	-0.162212912148857
Nerve Tibial	UBERON:0001323	ENSG00000116717.13	GADD45A	146.536696119403	0.0270824456822147	-0.141004703675012
Ovary	UBERON:0000992	ENSG00000116717.13	GADD45A	119.986301036269	0.022175486185227	-0.121851867365619
Cervix Ectocervix	UBERON:0012249	ENSG00000116717.13	GADD45A	95.4651416666667	0.0176435635728114	-0.102768715457029
Testis	UBERON:0000473	ENSG00000116717.13	GADD45A	34.0059833574879	0.00628487758724293	-0.0459669639203801
Skin Sun Exposed Lower leg	UBERON:0004264	ENSG00000116717.13	GADD45A	113.734134084881	0.0210199805928316	-0.117125325660432
Adipose Subcutaneous	UBERON:0002190	ENSG00000116717.13	GADD45A	255.43562535014	0.0472087991066132	-0.20794533744887
Small Intestine Terminal Ileum	UBERON:0001211	ENSG00000116717.13	GADD45A	55.5971231884058	0.0102752833161361	-0.0678649378312474
Artery Coronary	UBERON:0001621	ENSG00000116717.13	GADD45A	264.76844141791	0.0489336604615569	-0.21300964222273
Brain Cerebellum	UBERON:0002037	ENSG00000116717.13	GADD45A	13.9423923684211	0.00257678857240109	-0.0221609231495029
Esophagus Gastroesophageal Junction	UBERON:0004550	ENSG00000116717.13	GADD45A	59.6779403225806	0.0110294869477321	-0.0717191341669415
Muscle Skeletal	UBERON:0011907	ENSG00000116717.13	GADD45A	223.778878765281	0.0413580999809724	-0.190068852690095
Brain Nucleus accumbens basal ganglia	UBERON:0001882	ENSG00000116717.13	GADD45A	41.6789527017544	0.0077029713548141	-0.0540777030351129
Bladder	UBERON:0001255	ENSG00000116717.13	GADD45A	109.149698701299	0.0201726998396316	-0.113601591017195
