ENSG.ID	Gene.symbol	Label
ENSG00000109943	CRTAM	inflammatome
ENSG00000227507	LTB	inflammatome
ENSG00000137841	PLCB2	inflammatome
ENSG00000094804	CDC6	inflammatome
ENSG00000114353	GNAI2	inflammatome
ENSG00000204577	LILRB3	inflammatome
ENSG00000111679	PTPN6	inflammatome
ENSG00000153395	LPCAT1	inflammatome
ENSG00000181026	AEN	inflammatome
ENSG00000169429	CXCL8	inflammatome
ENSG00000172123	SLFN12	inflammatome
ENSG00000166710	B2M	inflammatome
ENSG00000068079	IFI35	inflammatome
ENSG00000160219	GAB3	inflammatome
ENSG00000184060	ADAP2	inflammatome
ENSG00000164611	PTTG1	inflammatome
ENSG00000152229	PSTPIP2	inflammatome
ENSG00000149968	MMP3	inflammatome
ENSG00000177272	KCNA3	inflammatome
ENSG00000164692	COL1A2	inflammatome
ENSG00000135905	DOCK10	inflammatome
ENSG00000182481	KPNA2	inflammatome
ENSG00000106683	LIMK1	inflammatome
ENSG00000057657	PRDM1	inflammatome
ENSG00000101109	STK4	inflammatome
ENSG00000158485	CD1B	inflammatome
ENSG00000128383	APOBEC3A	inflammatome
ENSG00000145050	MANF	inflammatome
ENSG00000128595	CALU	inflammatome
ENSG00000170458	CD14	inflammatome
ENSG00000110218	PANX1	inflammatome
ENSG00000050730	TNIP3	inflammatome
ENSG00000177105	RHOG	inflammatome
ENSG00000004468	CD38	inflammatome
ENSG00000101294	HM13	inflammatome
ENSG00000112984	KIF20A	inflammatome
ENSG00000182162	P2RY8	inflammatome
ENSG00000134470	IL15RA	inflammatome
ENSG00000081320	STK17B	inflammatome
ENSG00000088826	SMOX	inflammatome
ENSG00000197405	C5AR1	inflammatome
ENSG00000112242	E2F3	inflammatome
ENSG00000263528	IKBKE	inflammatome
ENSG00000131236	CAP1	inflammatome
ENSG00000173559	NABP1	inflammatome
ENSG00000151790	TDO2	inflammatome
ENSG00000154589	LY96	inflammatome
ENSG00000179218	CALR	inflammatome
ENSG00000150681	RGS18	inflammatome
ENSG00000183918	SH2D1A	inflammatome
ENSG00000145416	MARCHF1	inflammatome
ENSG00000134851	TMEM165	inflammatome
ENSG00000100219	XBP1	inflammatome
ENSG00000167850	CD300C	inflammatome
ENSG00000232810	TNF	inflammatome
ENSG00000159216	RUNX1	inflammatome
ENSG00000185885	IFITM1	inflammatome
ENSG00000168542	COL3A1	inflammatome
ENSG00000145386	CCNA2	inflammatome
ENSG00000165949	IFI27	inflammatome
ENSG00000164733	CTSB	inflammatome
ENSG00000196684	HSH2D	inflammatome
ENSG00000026950	BTN3A1	inflammatome
ENSG00000121552	CSTA	inflammatome
ENSG00000144802	NFKBIZ	inflammatome
ENSG00000103187	COTL1	inflammatome
ENSG00000112195	TREML2	inflammatome
ENSG00000071054	MAP4K4	inflammatome
ENSG00000168995	SIGLEC7	inflammatome
ENSG00000140105	WARS1	inflammatome
ENSG00000187116	LILRA5	inflammatome
ENSG00000101082	SLA2	inflammatome
ENSG00000124875	CXCL6	inflammatome
ENSG00000112303	VNN2	inflammatome
ENSG00000093009	CDC45	inflammatome
ENSG00000125810	CD93	inflammatome
ENSG00000183813	CCR4	inflammatome
ENSG00000103313	MEFV	inflammatome
ENSG00000166598	HSP90B1	inflammatome
ENSG00000255833	TIFAB	inflammatome
ENSG00000204482	LST1	inflammatome
ENSG00000034510	TMSB10	inflammatome
ENSG00000178927	CYBC1	inflammatome
ENSG00000110031	LPXN	inflammatome
ENSG00000012779	ALOX5	inflammatome
ENSG00000145287	PLAC8	inflammatome
ENSG00000134109	EDEM1	inflammatome
ENSG00000117461	PIK3R3	inflammatome
ENSG00000089685	BIRC5	inflammatome
ENSG00000160013	PTGIR	inflammatome
ENSG00000104856	RELB	inflammatome
ENSG00000137077	CCL21	inflammatome
ENSG00000114251	WNT5A	inflammatome
ENSG00000118971	CCND2	inflammatome
ENSG00000146670	CDCA5	inflammatome
ENSG00000154096	THY1	inflammatome
ENSG00000176170	SPHK1	inflammatome
ENSG00000118705	RPN2	inflammatome
ENSG00000123685	BATF3	inflammatome
ENSG00000120217	CD274	inflammatome
ENSG00000123610	TNFAIP6	inflammatome
ENSG00000157193	LRP8	inflammatome
ENSG00000112799	LY86	inflammatome
ENSG00000159110	IFNAR2	inflammatome
ENSG00000198624	CCDC69	inflammatome
ENSG00000244509	APOBEC3C	inflammatome
ENSG00000188042	ARL4C	inflammatome
ENSG00000072786	STK10	inflammatome
ENSG00000130816	DNMT1	inflammatome
ENSG00000100526	CDKN3	inflammatome
ENSG00000105559	PLEKHA4	inflammatome
ENSG00000111817	DSE	inflammatome
ENSG00000154978	VOPP1	inflammatome
ENSG00000189057	FAM111B	inflammatome
ENSG00000072110	ACTN1	inflammatome
ENSG00000115594	IL1R1	inflammatome
ENSG00000168062	BATF2	inflammatome
ENSG00000008516	MMP25	inflammatome
ENSG00000084652	TXLNA	inflammatome
ENSG00000206503	HLA-A	inflammatome
ENSG00000106991	ENG	inflammatome
ENSG00000092929	UNC13D	inflammatome
ENSG00000179344	HLA-DQB1	inflammatome
ENSG00000085514	PILRA	inflammatome
ENSG00000114999	TTL	inflammatome
ENSG00000172322	CLEC12A	inflammatome
ENSG00000100450	GZMH	inflammatome
ENSG00000205413	SAMD9	inflammatome
ENSG00000118193	KIF14	inflammatome
ENSG00000166927	MS4A7	inflammatome
ENSG00000101017	CD40	inflammatome
ENSG00000159496	RGL4	inflammatome
ENSG00000086300	SNX10	inflammatome
ENSG00000075884	ARHGAP15	inflammatome
ENSG00000090376	IRAK3	inflammatome
ENSG00000152778	IFIT5	inflammatome
ENSG00000184371	CSF1	inflammatome
ENSG00000167984	NLRC3	inflammatome
ENSG00000084070	SMAP2	inflammatome
ENSG00000087589	CASS4	inflammatome
ENSG00000153317	ASAP1	inflammatome
ENSG00000180871	CXCR2	inflammatome
ENSG00000090104	RGS1	inflammatome
ENSG00000175063	UBE2C	inflammatome
ENSG00000185880	TRIM69	inflammatome
ENSG00000141574	SECTM1	inflammatome
ENSG00000153551	CMTM7	inflammatome
ENSG00000197646	PDCD1LG2	inflammatome
ENSG00000140937	CDH11	inflammatome
ENSG00000113749	HRH2	inflammatome
ENSG00000181631	P2RY13	inflammatome
ENSG00000166073	GPR176	inflammatome
ENSG00000075618	FSCN1	inflammatome
ENSG00000120889	TNFRSF10B	inflammatome
ENSG00000090889	KIF4A	inflammatome
ENSG00000162745	OLFML2B	inflammatome
ENSG00000003056	M6PR	inflammatome
ENSG00000124357	NAGK	inflammatome
ENSG00000139329	LUM	inflammatome
ENSG00000111537	IFNG	inflammatome
ENSG00000161791	FMNL3	inflammatome
ENSG00000156234	CXCL13	inflammatome
ENSG00000116132	PRRX1	inflammatome
ENSG00000204592	HLA-E	inflammatome
ENSG00000204252	HLA-DOA	inflammatome
ENSG00000148848	ADAM12	inflammatome
ENSG00000196664	TLR7	inflammatome
ENSG00000182179	UBA7	inflammatome
ENSG00000160185	UBASH3A	inflammatome
ENSG00000243649	CFB	inflammatome
ENSG00000115009	CCL20	inflammatome
ENSG00000088325	TPX2	inflammatome
ENSG00000162894	FCMR	inflammatome
ENSG00000177494	ZBED2	inflammatome
ENSG00000167900	TK1	inflammatome
ENSG00000062038	CDH3	inflammatome
ENSG00000110665	C11orf21	inflammatome
ENSG00000111206	FOXM1	inflammatome
ENSG00000139178	C1RL	inflammatome
ENSG00000178860	MSC	inflammatome
ENSG00000107742	SPOCK2	inflammatome
ENSG00000137496	IL18BP	inflammatome
ENSG00000182578	CSF1R	inflammatome
ENSG00000134057	CCNB1	inflammatome
ENSG00000170909	OSCAR	inflammatome
ENSG00000165025	SYK	inflammatome
ENSG00000100385	IL2RB	inflammatome
ENSG00000142512	SIGLEC10	inflammatome
ENSG00000144837	PLA1A	inflammatome
ENSG00000129226	CD68	inflammatome
ENSG00000017483	SLC38A5	inflammatome
ENSG00000138378	STAT4	inflammatome
ENSG00000089820	ARHGAP4	inflammatome
ENSG00000119403	PHF19	inflammatome
ENSG00000105369	CD79A	inflammatome
ENSG00000168078	PBK	inflammatome
ENSG00000181458	TMEM45A	inflammatome
ENSG00000108821	COL1A1	inflammatome
ENSG00000123975	CKS2	inflammatome
ENSG00000126860	EVI2A	inflammatome
ENSG00000102970	CCL17	inflammatome
