featurecounts_Percent_Assigned_	featurecounts_Percent_Duplicates	featurecounts_Percent_Assigned_O	featurecounts_Percent_Assigned_M	featurecounts_Percent_Assigned_MO	sra_study_acc	bio_project_acc	Tissue	Tissue_subtype	Disease	Disease_subtype	Treated	biotype_transcribed_unprocessed_pseudogene	biotype_unprocessed_pseudogene	biotype_miRNA	biotype_lncRNA	biotype_protein_coding	biotype_processed_pseudogene	biotype_snRNA	biotype_transcribed_processed_pseudogene	biotype_misc_RNA	biotype_TEC	biotype_transcribed_unitary_pseudogene	biotype_snoRNA	biotype_scaRNA	biotype_rRNA_pseudogene	biotype_unitary_pseudogene	biotype_polymorphic_pseudogene	biotype_pseudogene	biotype_rRNA	biotype_IG_V_pseudogene	biotype_scRNA	biotype_IG_V_gene	biotype_IG_C_gene	biotype_IG_J_gene	biotype_sRNA	biotype_ribozyme	biotype_translated_processed_pseudogene	biotype_vault_RNA	biotype_TR_C_gene	biotype_TR_J_gene	biotype_TR_V_gene	biotype_TR_V_pseudogene	biotype_translated_unprocessed_pseudogene	biotype_TR_D_gene	biotype_IG_C_pseudogene	biotype_TR_J_pseudogene	biotype_IG_J_pseudogene	biotype_IG_D_gene	biotype_IG_pseudogene	biotype_Mt_tRNA	biotype_Mt_rRNA	fastqc_total_sequences_1	fastqc_poor_sequences_1	fastqc_mean_read_quality_1	fastqc_percent_duplication_1	fastqc_total_sequences_2	fastqc_poor_sequences_2	fastqc_mean_read_quality_2	fastqc_percent_duplication_2	markdup_unpaired_reads_examined	markdup_read_pairs_examined	markdup_secondary_or_supplementary_rds	markdup_unmapped_reads	markdup_unpaired_read_duplicates	markdup_read_pair_duplicates	markdup_read_pair_optical_duplicates	markdup_percent_duplication	markdup_estimated_library_size	rseqc_read_distribution_total	rseqc_read_distribution_CDS_Exons	rseqc_read_distribution_5'UTR_Exons	rseqc_read_distribution_3'UTR_Exons	rseqc_read_distribution_Introns	rseqc_read_distribution_TSS_up_1kb	rseqc_read_distribution_TSS_up_5kb	rseqc_read_distribution_TSS_up_10kb	rseqc_read_distribution_TES_down_1kb	rseqc_read_distribution_TES_down_5kb	rseqc_read_distribution_TES_down_10kb	trimgalore_total_sequences_1	trimgalore_num_adapter_containing_sequences_1	trimgalore_percent_adapter_containing_sequences_1	trimgalore_percent_bad_quality_bases_1	trimgalore_num_removed_shorter_20bp_1	trimgalore_percent_removed_shorter_20bp_1	trimgalore_total_sequences_2	trimgalore_num_adapter_containing_sequences_2	trimgalore_percent_adapter_containing_sequences_2	trimgalore_percent_bad_quality_bases_2	trimgalore_num_removed_shorter_20bp_2	trimgalore_percent_removed_shorter_20bp_2	star_nreads_input	star_average_read_length	star_number_uniquely_mapped_reads	star_percent_uniquely_mapped_reads	star_average_mapped_length	star_number_total_splices_unique_reads	star_number_sjdb_annotated_splices_unique_reads	star_number_gt_ag_splices_unique_reads	star_number_gc_ag_splices_unique_reads	star_number_at_ac_splices_unique_reads	star_number_non_canonical_splices_unique_reads	star_percent_mismatch_rate_per_base_unique_reads	star_deletion_rate_per_base_unique_reads	star_average_deletion_length_unique_reads	star_insertion_rate_per_base_unique_reads	star_average_insertion_length_unique_reads	star_number_multimapping_reads	star_percent_multimapping_reads	star_number_unmapped_reads_too_many_loci	star_percent_unmapped_reads_too_many_loci	star_number_unmapped_reads_too_many_mismatches	star_percent_unmapped_reads_too_many_mismatches	star_number_unmapped_reads_too_short	star_percent_unmapped_reads_too_short	star_number_unmapped_reads_other	star_percent_unmapped_reads_other	star_number_chimeric_reads	star_percent_chimeric_reads	has_salmon_quantification	group
SRX3987921	13.247	31.892	14.175	24.273	26.58	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	7509	2661	519	254865	3406197	8697	1360	1900	6185	4008	2065	1577	589	121	40	88	38	1	3	0	8	7	0	0	3	0	0	16	13	3	4	6	0	0	0	0	0	0	533	988475	9521494	0	36.4572278258013	38.0265482013082	NA	NA	NA	NA	9220991	0	4579248	0	4401237	0	0	0.477306	NA	5226288	1877618	61148	469012	2521932	7250	22223	35810	12526	42223	64191	9521494	4313602	45.3	0.1	170112	1.8	NA	NA	NA	NA	NA	NA	9351382	58	7854390	83.99	56.77	679164	674691	667061	9971	471	1661	0.29	0.01	1.42	0.01	1.24	1366601	14.61	18108	0.19	0	0	108620	1.16	3663	0.04	0	0	FALSE	Neurodegenerative
SRX3987922	10.786	26.016	11.515	20.945	22.744	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	10634	7213	605	365002	3823729	15334	3753	2796	15899	7147	2655	5447	971	275	54	108	32	11	4	3	3	7	0	0	1	1	0	13	5	13	5	4	0	1	0	0	0	0	3155	1839207	15464424	0	36.4637951597809	31.7347436064244	NA	NA	NA	NA	14327754	0	8529184	0	5946366	0	0	0.415024	NA	8883000	2395558	74071	682728	5102825	13369	46117	76800	24433	87552	135116	15464424	8047631	52	0.1	776202	5	NA	NA	NA	NA	NA	NA	14688222	56	11889376	80.94	55.47	663380	651004	631544	27802	745	3289	0.4	0.01	1.4	0.01	1.19	2438378	16.6	40959	0.28	0	0	312574	2.13	6935	0.05	0	0	FALSE	Neurodegenerative
SRX3987923	11.278	23.759	12.057	20.942	22.721	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	9752	5756	817	335098	2813900	13437	4203	2700	9161	6227	2117	4061	750	249	51	89	28	11	3	0	2	3	0	0	5	0	0	9	2	10	1	3	0	0	1	0	0	0	2422	1449612	12588430	0	36.4867792886007	26.9221767196254	NA	NA	NA	NA	11929402	0	5909362	0	4238342	0	0	0.355285	NA	8097358	1954955	60082	545451	4964037	11146	39537	66691	24283	85269	130065	12588430	6297959	50	0.1	396757	3.2	NA	NA	NA	NA	NA	NA	12191673	57	10213401	83.77	55.74	473392	464714	454904	15542	500	2446	0.33	0.01	1.4	0.01	1.19	1716001	14.08	35471	0.29	0	0	222172	1.82	4628	0.04	0	0	FALSE	Neurodegenerative
SRX3987926	12.073	25.955	12.902	21.994	24.003	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	15689	8535	1146	463524	5713774	20637	3638	3947	15184	9332	3774	5104	1188	353	98	195	55	8	5	0	9	21	0	0	6	4	0	27	15	16	7	17	0	3	0	0	0	0	2606	1720265	19889539	0	36.3720795137585	28.5966641609884	NA	NA	NA	NA	18658730	0	9839249	0	7396769	0	0	0.396424	NA	11973849	3379792	108607	930233	6788017	16946	57788	95718	30611	105128	161826	19889539	10136043	51	0.1	846075	4.3	NA	NA	NA	NA	NA	NA	19043464	57	15810710	83.02	55.56	1032190	1018278	1007690	19315	882	4303	0.37	0.01	1.4	0.01	1.18	2848020	14.96	48127	0.25	0	0	328625	1.73	7982	0.04	0	0	FALSE	Neurodegenerative
SRX3987925	9.051	24.231	9.66	20.682	22.275	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	11469	7903	981	358984	2999057	17468	10402	3159	14220	6972	2252	6423	825	342	63	104	31	12	4	0	3	5	0	0	6	1	0	35	18	9	2	6	0	5	0	0	0	0	3511	1927767	15623924	0	36.4597886548859	28.9846799627772	NA	NA	NA	NA	14512530	0	8710091	0	5626980	0	0	0.387733	NA	9308373	2045574	62474	562915	5912711	14140	51726	88091	28021	100364	154927	15623924	8999363	57.6	0.1	652757	4.2	NA	NA	NA	NA	NA	NA	14971167	54	12022886	80.31	53.99	537120	522488	490897	42649	572	3002	0.4	0.01	1.39	0.01	1.19	2489644	16.63	49567	0.33	0	0	400796	2.68	8274	0.06	0	0	FALSE	Neurodegenerative
SRX3987924	11.357	23.858	12.119	19.984	21.594	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	15406	8705	1347	440992	4158129	19725	4564	3923	10324	9876	2938	5563	1024	285	87	158	30	11	3	0	5	15	0	2	11	1	0	24	12	14	7	7	0	4	0	0	0	0	2461	1573380	18411112	0	36.4810264040542	24.797826661117	NA	NA	NA	NA	17482467	0	7467625	0	5952623	0	0	0.340491	NA	12093199	2683531	82002	805307	7684631	16365	59816	100421	34353	120898	185182	18411112	9023371	49	0.1	571506	3.1	NA	NA	NA	NA	NA	NA	17839606	57	15154829	84.95	55.91	710372	698665	645109	60727	678	3858	0.34	0.01	1.42	0.01	1.18	2327638	13.05	49423	0.28	0	0	300879	1.69	6837	0.04	0	0	FALSE	Neurodegenerative
SRX3987928	9.826	21.998	10.498	20.691	22.341	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	14250	6619	1618	468246	3998919	23296	9521	4099	17440	9058	3061	8376	970	430	77	111	50	20	5	2	12	9	0	2	9	1	0	23	9	6	4	3	0	2	0	0	0	0	2952	1614623	18512952	0	36.3924864602901	25.6181409148369	NA	NA	NA	NA	17079132	0	10853535	0	6144646	0	0	0.359775	NA	11486162	2672718	88001	739014	7123731	18115	64142	107439	34757	123074	189445	18512952	10686901	57.7	0.1	898722	4.9	NA	NA	NA	NA	NA	NA	17614230	54	14280215	81.07	53.88	752092	734210	700427	46301	1718	3646	0.41	0.01	1.4	0.01	1.18	2798917	15.89	59854	0.34	0	0	464647	2.64	10597	0.06	0	0	FALSE	Neurodegenerative
SRX3987927	9.494	23.84	10.132	20.206	21.799	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	16656	9256	1488	492821	4949740	29936	8976	4251	20036	9993	3291	9956	1133	603	80	146	58	27	7	4	20	52	0	0	6	0	0	20	20	23	1	5	0	2	1	0	0	0	4384	1983728	22104211	0	36.3828059277936	30.6007177315302	NA	NA	NA	NA	19981483	0	13437552	0	7966943	0	0	0.398716	NA	12653738	3079371	104515	859555	7693143	19918	67849	112741	36650	128571	196612	22104211	12517442	56.6	0.1	1466056	6.6	NA	NA	NA	NA	NA	NA	20638155	54	16592860	80.4	54.31	920214	899901	855472	58882	1529	4331	0.42	0.01	1.39	0.01	1.18	3388623	16.42	72472	0.35	0	0	570422	2.76	13778	0.07	0	0	FALSE	Neurodegenerative
SRX3987929	11.269	23.076	12.053	21.478	23.29	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	11622	5755	1043	368491	3853180	16830	5636	2893	11912	6901	2463	6193	985	283	64	118	39	18	5	0	25	76	2	1	6	0	0	20	14	10	2	7	0	2	0	0	0	0	2686	1383882	15094978	0	36.3960182651475	27.1066282626084	NA	NA	NA	NA	14139812	0	8690310	0	5268302	0	0	0.372586	NA	9398695	2505745	81926	717814	5427954	14555	49110	81133	28020	97548	147913	15094978	7921811	52.5	0.1	614900	4.1	NA	NA	NA	NA	NA	NA	14480078	56	11887591	82.1	55.2	689479	677368	668088	17750	738	2903	0.36	0.01	1.41	0.01	1.19	2252221	15.55	41706	0.29	0	0	291427	2.01	7133	0.05	0	0	FALSE	Neurodegenerative
SRX3987930	10.481	26.802	11.212	21.18	23.126	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	16871	9892	1165	487786	5544411	22546	6148	3790	23523	8850	3090	10303	1421	424	92	148	42	29	6	1	7	13	0	0	5	0	0	24	12	9	2	7	0	0	0	0	0	0	3430	2513389	21433060	0	36.3894277811941	32.2853082890598	NA	NA	NA	NA	19971743	0	12304940	0	8650934	0	0	0.433159	NA	12025105	3308841	115674	933757	6807083	20270	64826	106238	36106	123940	188079	21433060	11235627	52.4	0.1	911715	4.3	NA	NA	NA	NA	NA	NA	20521345	56	16636372	81.07	55.14	1067542	1050019	1003300	58972	948	4322	0.45	0.01	1.4	0.01	1.17	3335371	16.25	53930	0.26	0	0	484506	2.36	11166	0.05	0	0	FALSE	Neurodegenerative
SRX5723059	11.493	24.993	12.283	20.803	22.519	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	12007	3400	760	337758	3485050	15358	2277	3090	6934	6906	2538	1876	564	221	53	136	38	5	0	0	6	8	1	0	10	0	0	17	11	9	9	8	0	1	0	0	0	0	1253	1170868	13612685	0	36.3124617957442	30.4541203017216	NA	NA	NA	NA	12985714	0	6491952	0	4868038	0	0	0.374876	NA	8584832	2216800	73193	584447	5163935	11308	39386	65432	22307	79450	122016	13612685	5904237	43.4	0.1	337912	2.5	NA	NA	NA	NA	NA	NA	13274773	58	11180431	84.22	56.93	635608	629083	624363	8471	504	2270	0.38	0.01	1.42	0.01	1.22	1805283	13.6	33804	0.25	0	0	250888	1.89	4367	0.03	0	0	FALSE	Neurodegenerative
SRX5723061	13.932	22.084	14.873	24.965	26.613	SRP142295	GSE113524	Brain	Olfactory bulb	Healthy	Healthy	0	6721	2126	343	174452	2075410	7757	741	1626	2612	3617	1277	806	199	106	26	71	16	2	0	0	1	4	1	0	6	0	0	4	3	4	5	1	0	1	2	0	0	0	864	782058	7482426	0	33.728296544463	25.9416191761594	NA	NA	NA	NA	7254212	0	3756194	0	2431511	0	0	0.335186	NA	5158561	1559823	51109	386674	2854510	6591	22424	36522	12944	44891	68154	7482426	3081045	41.2	0.2	56524	0.8	NA	NA	NA	NA	NA	NA	7425902	59	6243363	84.08	57.3	404546	401159	398700	4128	327	1391	0.29	0.01	1.42	0.01	1.21	1010849	13.61	17302	0.23	0	0	152721	2.06	1667	0.02	0	0	FALSE	Healthy
SRX5723062	10.408	22.218	11.099	21.214	22.903	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	16063	7137	1090	470307	5727000	25005	4949	4240	16346	10065	3296	6621	972	378	86	151	38	36	4	0	11	15	0	0	8	0	0	23	6	11	7	3	0	4	0	0	0	0	4290	1560327	21799538	0	36.2627851562726	31.0923687668217	NA	NA	NA	NA	19957349	0	14818805	0	7726726	0	0	0.387162	NA	12979412	3494664	117278	1022209	7457019	18642	63989	106147	36553	131585	200799	21799538	10707804	49.1	0.1	886288	4.1	NA	NA	NA	NA	NA	NA	20913250	57	16597034	79.36	55.9	1154130	1137971	1099876	48075	1653	4526	0.39	0.01	1.39	0.01	1.19	3360315	16.07	86137	0.41	0	0	858628	4.11	11136	0.05	0	0	FALSE	Neurodegenerative
SRX5723060	10.977	25.572	11.729	21.882	23.471	SRP142295	GSE113524	Brain	Olfactory bulb	Healthy	Healthy	0	12651	5254	954	385808	3855429	17227	3313	3047	5680	6903	2372	3066	558	214	67	82	33	18	2	0	5	3	0	0	12	0	0	19	14	7	3	4	0	0	0	0	0	0	1637	1627951	15236080	0	36.2567651259379	33.5515623528816	NA	NA	NA	NA	14367293	0	8363687	0	5812682	0	0	0.404577	NA	9079820	2480766	84997	648999	5272398	12795	43226	71483	25168	87113	132351	15236080	6972288	45.8	0.1	510966	3.4	NA	NA	NA	NA	NA	NA	14725114	58	12219749	82.99	56.59	717863	708971	697864	16004	685	3310	0.36	0.01	1.41	0.01	1.22	2147544	14.58	35100	0.24	0	0	317661	2.16	5060	0.03	0	0	FALSE	Healthy
SRX5723064	12.141	22.791	12.969	22.898	24.578	SRP142295	GSE113524	Brain	Olfactory bulb	Healthy	Healthy	0	9607	3681	622	308332	4298795	13005	1508	2423	6734	5351	2145	2866	412	197	53	79	32	12	1	0	5	3	0	0	6	2	0	6	2	5	1	2	0	2	0	0	0	0	1320	973814	13545182	0	36.2100326152871	33.1776342405802	NA	NA	NA	NA	12512739	0	9900263	0	5108154	0	0	0.408236	NA	7965874	2639827	91199	783500	3977411	11791	36034	57389	20765	69757	104665	13545182	6167254	45.5	0.1	662543	4.9	NA	NA	NA	NA	NA	NA	12882639	58	10345450	80.31	56.64	808868	800333	789394	16079	721	2674	0.36	0.01	1.39	0.01	1.19	2167289	16.82	27576	0.21	0	0	338857	2.63	3467	0.03	0	0	FALSE	Healthy
SRX5723063	11.93	23.293	12.743	21.493	23.16	SRP142295	GSE113524	Brain	Olfactory bulb	Healthy	Healthy	0	12153	4724	1008	380981	4412245	16590	2646	3399	7935	7220	2381	3326	660	294	71	102	29	16	4	0	6	3	0	1	1	1	0	36	18	9	4	5	0	2	0	0	0	0	2235	1190779	16416378	0	36.2427892437662	32.8010921395028	NA	NA	NA	NA	14679899	0	9278784	0	5580769	0	0	0.380164	NA	9684703	2765585	91702	811389	5428388	13155	43322	70479	25485	86966	130770	16416378	7877173	48	0.1	1318155	8	NA	NA	NA	NA	NA	NA	15098223	57	12395536	82.1	56.43	802358	792228	776660	17939	4280	3479	0.36	0.01	1.39	0.01	1.18	2284363	15.13	35633	0.24	0	0	376961	2.5	5730	0.04	0	0	FALSE	Healthy
SRX5723067	10.881	25.735	11.606	19.947	21.445	SRP142295	GSE113524	Brain	Olfactory bulb	Healthy	Healthy	0	16216	8358	1111	452231	4210017	20518	2980	4021	6785	9448	3067	3402	775	265	88	140	40	9	2	1	17	42	1	1	13	0	0	19	12	6	3	9	0	5	0	0	0	0	2533	2436912	18937647	0	36.3014997058505	29.9467413518832	NA	NA	NA	NA	18270773	0	8140251	0	6796930	0	0	0.372011	NA	12058355	2777561	96946	760680	7609453	16114	57484	96381	35031	124680	188304	18937647	7894348	41.7	0.1	276224	1.5	NA	NA	NA	NA	NA	NA	18661423	59	15866495	85.02	57.17	679102	670253	665156	8242	2131	3573	0.35	0.01	1.39	0.01	1.18	2404278	12.88	46260	0.25	0	0	340231	1.82	4159	0.02	0	0	FALSE	Healthy
SRX5723065	10.751	24.886	11.47	18.952	20.352	SRP142295	GSE113524	Brain	Olfactory bulb	Healthy	Healthy	0	14235	5628	930	431184	3732793	18318	3180	3571	6406	8426	2598	2814	421	271	92	278	31	8	2	0	4	8	0	0	14	1	0	8	3	29	10	2	0	2	0	0	0	0	1790	1156461	16020811	0	36.2492642226414	28.6073278150077	NA	NA	NA	NA	15302429	0	7142895	0	5585634	0	0	0.365016	NA	10197469	2335101	82314	629360	6517749	13081	46153	76595	27557	96053	145078	16020811	6950409	43.4	0.1	388015	2.4	NA	NA	NA	NA	NA	NA	15632796	58	13313590	85.16	56.85	608946	600199	595383	9918	560	3085	0.37	0.01	1.45	0.01	1.22	1988839	12.72	39666	0.25	0	0	284573	1.82	6128	0.04	0	0	FALSE	Healthy
SRX5723066	11.512	25.82	12.295	22.61	24.424	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	11755	5010	771	355350	4508648	15305	1758	3010	13260	7092	2777	3038	776	203	60	138	53	8	3	0	13	13	0	0	2	2	0	13	25	14	9	3	0	1	0	0	0	0	2271	1298301	14967998	0	36.2475466658935	34.3249946491702	NA	NA	NA	NA	14328337	0	9177171	0	6069029	0	0	0.423568	NA	8830479	2679814	101998	715316	4805525	12409	39524	64239	23521	81143	122467	14967998	6260121	41.8	0.1	262203	1.8	NA	NA	NA	NA	NA	NA	14705795	59	11905836	80.96	57.13	937416	929880	826716	106327	778	3595	0.36	0.01	1.42	0.01	1.21	2422501	16.47	31800	0.22	0	0	341941	2.33	3717	0.03	0	0	FALSE	Neurodegenerative
SRX5723068	10.341	22.557	11.044	21.822	23.389	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	14149	6413	1036	460911	4071091	19982	4107	3759	7405	8271	2677	3852	675	306	91	100	28	26	3	0	10	10	0	0	8	1	0	10	6	8	7	12	0	0	0	0	0	0	2778	1694525	17577539	0	36.2683131011685	29.7375645669756	NA	NA	NA	NA	16678220	0	10724016	0	6181024	0	0	0.370605	NA	11073975	2749580	100320	758398	6745196	15099	50961	84376	31905	111208	167869	17577539	7938222	45.2	0.1	417631	2.4	NA	NA	NA	NA	NA	NA	17159908	58	14014275	81.67	56.57	809995	799530	697466	108199	673	3657	0.36	0.01	1.41	0.01	1.18	2663945	15.52	49873	0.29	0	0	426188	2.48	5627	0.03	0	0	FALSE	Neurodegenerative
SRX5723071	14.618	24.849	15.632	24.876	27.138	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	7537	3965	485	198805	3106907	7997	755	1745	7379	3757	1583	1652	483	134	48	92	36	3	1	1	6	9	1	1	1	0	0	20	7	11	6	2	0	1	1	0	0	0	856	903541	9176084	0	33.3695378115545	28.4321202461445	NA	NA	NA	NA	8900469	0	4970516	0	3446738	0	0	0.387254	NA	5904490	2068253	68561	525808	2915224	7636	23935	38987	13839	47727	71457	9176084	3755170	40.9	0.2	52778	0.6	NA	NA	NA	NA	NA	NA	9123306	59	7543857	82.69	57.21	634673	630366	626229	6158	507	1779	0.3	0.01	1.41	0.01	1.2	1356612	14.87	17408	0.19	0	0	203767	2.23	1662	0.02	0	0	FALSE	Neurodegenerative
SRX5723069	9.497	23.037	10.14	19.27	20.707	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	13844	5385	1201	420565	3541881	19623	4468	3726	6771	8020	2786	4020	504	301	68	107	39	21	4	1	4	5	0	0	6	3	0	12	10	10	3	3	0	3	0	0	0	0	2683	1724805	16756762	0	36.204916916526	31.147943800289	NA	NA	NA	NA	15749530	0	10339894	0	6010316	0	0	0.381619	NA	10250375	2440373	84024	633195	6412228	13754	48894	81852	27293	98079	150525	16756762	7729049	46.1	0.1	573474	3.4	NA	NA	NA	NA	NA	NA	16183288	58	13231107	81.76	56.47	686190	675868	662869	18509	1633	3179	0.38	0.01	1.4	0.01	1.19	2518423	15.56	54545	0.34	0	0	373468	2.31	5745	0.04	0	0	FALSE	Neurodegenerative
SRX5723073	9.231	21.605	9.865	19.945	21.301	SRP142295	GSE113524	Brain	Olfactory bulb	Healthy	Healthy	0	13714	5203	1153	510732	4324054	24928	5944	3470	9035	7802	2980	5688	737	445	94	119	42	52	4	0	5	14	1	2	8	0	0	15	9	6	2	5	0	5	0	0	1	0	3258	1385950	18562287	0	36.1932078735772	32.9106476587978	NA	NA	NA	NA	16808979	0	14064576	0	6670181	0	0	0.396822	NA	10731155	2825741	102202	732836	6348746	16579	56345	93121	27335	97373	150845	18562287	9380797	50.5	0.1	1215466	6.5	NA	NA	NA	NA	NA	NA	17346821	56	13804492	79.58	55.79	835181	820655	794533	36091	724	3833	0.36	0.01	1.41	0.01	1.19	3004487	17.32	50639	0.29	0	0	480550	2.77	6653	0.04	0	0	FALSE	Healthy
SRX5723070	10.058	24.448	10.742	21.293	23.128	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	18673	8270	1577	515834	5656071	23218	4309	4474	15356	10996	4088	8519	1341	370	81	143	49	16	4	0	8	43	1	2	23	1	0	38	16	17	7	8	0	4	0	0	1	0	4045	2100468	22754264	0	36.2467479062386	30.473987753286	NA	NA	NA	NA	22042221	0	13417911	0	8669191	0	0	0.393299	NA	14109117	3453606	124560	958670	8680855	18860	64098	106833	37294	132144	200381	22754264	9510378	41.8	0.1	150905	0.7	NA	NA	NA	NA	NA	NA	22603359	59	18470866	81.72	57	1150879	1140411	975063	170014	933	4869	0.33	0.01	1.38	0.01	1.19	3571355	15.8	62424	0.28	0	0	490785	2.17	7929	0.04	0	0	FALSE	Neurodegenerative
SRX5723072	9.018	22.204	9.64	20.407	21.885	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	13774	6405	1154	423819	4210859	24678	6358	3878	13491	8216	2892	6115	766	411	75	148	33	58	3	0	6	20	1	2	10	0	0	19	11	7	8	6	0	4	0	0	1	0	4510	1611272	18258934	0	36.1631869637077	35.5425748778434	NA	NA	NA	NA	16280508	0	14444892	0	6822401	0	0	0.419053	NA	10034960	2765625	102019	703502	5768820	15999	52378	85510	29664	104198	158606	18258934	9655329	52.9	0.1	1363468	7.5	NA	NA	NA	NA	NA	NA	16895466	55	13204643	78.15	55.35	844712	829117	788463	50972	1961	3316	0.35	0.01	1.4	0.01	1.19	3075865	18.21	67450	0.4	0	0	538019	3.18	9489	0.06	0	0	FALSE	Neurodegenerative
SRX5723074	7.857	26.065	8.397	19.534	20.998	SRP142295	GSE113524	Brain	Olfactory bulb	Neurodegenarative disease	Alzheimer’s disease	0	12691	6941	1541	348019	3506409	22219	7100	3639	9764	7395	2591	4713	655	412	66	122	36	36	3	2	7	8	0	3	13	1	0	23	27	8	6	3	0	3	0	0	0	0	4546	2458866	17524768	0	36.2266318732436	40.3143566585555	NA	NA	NA	NA	15955159	0	12662120	0	7459039	0	0	0.4675	NA	8968712	2264592	82969	545543	5424828	14132	48054	79716	25690	92427	142090	17524768	8790592	50.2	0.1	1053597	6	NA	NA	NA	NA	NA	NA	16471171	56	12920112	78.44	55.83	662833	649468	632666	25631	1393	3143	0.34	0.01	1.4	0.01	1.2	3035047	18.43	63031	0.38	0	0	444759	2.7	8222	0.05	0	0	FALSE	Neurodegenerative
SRX5723075	4.54	26.226	4.863	18.426	19.59	SRP142295	GSE113524	Brain	Olfactory bulb	Healthy	Healthy	0	10421	9549	1355	344401	3094762	26696	12848	2928	11951	6034	2014	4798	662	1858	83	99	23	126	3	1	2	16	0	6	3	1	0	22	12	5	2	0	0	7	0	0	0	0	7481	3698477	21319481	0	36.2093299081718	54.8804633453869	NA	NA	NA	NA	17415821	0	23791658	0	10806882	0	0	0.620521	NA	7023108	1966999	74368	414125	3984748	14832	47184	76599	20842	80545	124621	21319481	12574758	59	0.1	2457980	11.5	NA	NA	NA	NA	NA	NA	18861501	53	12236866	64.88	53.77	803871	778593	693535	103011	3442	3883	0.39	0.01	1.34	0.01	1.15	5178955	27.46	69461	0.37	0	0	1356017	7.19	20202	0.11	0	0	FALSE	Healthy
SRX5723076	6.269	21.052	6.702	20.634	22.331	SRP142295	GSE113524	Brain	Olfactory bulb	Healthy	Healthy	0	10871	4821	1014	349845	3810374	21993	4686	2648	7167	6024	2216	5667	900	526	68	72	22	80	5	0	56	100	0	2	9	0	0	24	13	7	5	7	0	3	0	0	0	0	4770	2112272	19595654	0	36.205663306772	46.0519125805236	NA	NA	NA	NA	16846462	0	24544336	0	8713487	0	0	0.517229	NA	8707939	2613592	102498	664107	4726151	15082	47356	75547	24307	86829	131711	19595654	10257203	52.3	0.1	760689	3.9	NA	NA	NA	NA	NA	NA	18834965	55	12108777	64.29	54.93	1030879	1012812	924933	73619	28325	4002	0.39	0.01	1.39	0.01	1.18	4737685	25.15	54665	0.29	0	0	1887315	10.02	46523	0.25	0	0	FALSE	Healthy
SRX5723077	10.572	23.001	11.303	22.396	24.17	SRP142295	GSE113524	Brain	Olfactory bulb	Healthy	Healthy	0	8973	2904	581	260992	3218868	12892	2113	2281	5948	4956	1926	2340	522	183	42	89	23	7	4	0	2	6	0	0	4	0	0	14	12	2	5	2	0	0	0	0	0	0	1112	1158369	11405720	0	36.1536158173267	34.0485049418729	NA	NA	NA	NA	10721135	0	8952618	0	4525174	0	0	0.42208	NA	6645288	2104597	79693	527141	3520184	10236	31713	51396	16633	58496	89023	11405720	5392039	47.3	0.1	366595	3.2	NA	NA	NA	NA	NA	NA	11039125	57	8765153	79.4	56.27	652642	644815	630352	14853	5194	2243	0.34	0.01	1.4	0.01	1.22	1955982	17.72	37066	0.34	0	0	276993	2.51	3931	0.04	0	0	FALSE	Healthy
