K00600	00260 00460 00630 00670 00680 01100 01110 01120 01200 01230 01240 01523
K00601	00230 00670 01100 01110
K00602	00230 00670 01100 01110 01523
K00603	00340 00670 01100
K00604	00670 00970 01100
K00605	00260 00630 00670 01100 01110 01200
K00606	00770 01100 01110 01240
K00607	00541 01100 01250
K00608	00240 00250 01100 01240
K00609	00240 00250 01100 01240
K00610	00240 00250 01100 01240
K00611	00220 01100 01110 01230
K00613	00260 00330 01100
K00615	00030 00710 01051 01100 01110 01120 01200 01230
K00616	00030 01100 01110 01120 01200 01230
K00618	00220 01100 01110 01210 01230
K00619	00220 01100 01110 01210 01230
K00620	00220 01100 01110 01210 01230
K00621	00520 01100 01250
K00622	00232 00633 00983 01100 01110 01120 05204
K00623	00564 04725
K00624	04146
K00625	00430 00620 00640 00680 00720 01100 01120 01200
K00626	00071 00280 00310 00362 00380 00620 00630 00650 00720 00900 01100 01110 01120 01200 01212 02020 04975
K00627	00010 00020 00620 01100 01110 01120 01200
K00628	01100
K00629	00561 00564 01100 01110
K00630	00561 00564 01100
K00631	00561 00564 01100 01110
K00632	00071 00280 00281 00362 00592 00642 01100 01110 01120 01212
K00634	00650 01100
K00635	00561 01100
K00637	00100 04979
K00639	00260 01100
K00640	00270 00920 01100 01110 01120 01200 01230 05111
K00641	00270 00920 01100 01110 01230
K00643	00260 00860 01100 01110 01240
K00645	00061 00333 01100 01110 01212
K00647	00061 00780 01100 01212 01240
K00648	00061 01100 01212
K00649	00564 04146
K00650	00564 04979
K00651	00270 00920 01100 01110 01230
K00652	00780 01100 01240
K00654	00600 01100 04071 04138
K00655	00561 00564 01100 01110
K00656	00620 00640 00650 01100 01120
K00657	00330 01100 04216
K00658	00020 00310 00380 01100 01110 01120 01200
K00659	00120 00430 01040 01100 04146 04976
K00660	00941 00960 01100 01110 04712
K00665	00061 01100 01212 04152 04910 04936
K00667	00061 01100 01212
K00668	00061 01100 01212
K00669	00380 01100
K00672	00680 01100 01120 01200
K00673	00330 01100
K00674	00300 01100 01120 01230
K00677	00540 01100 01503
K00678	00830 01100 04977
K00679	00561 01100
K00681	00430 00460 00480 01100
K00682	00480 01100
K00687	00550 01100 01501
K00688	00500 01100 01110 02026 04217 04910 04922 04931
K00689	00500 01100 02020
K00690	00500 01100
K00691	00500 01100
K00692	00500 01100 02020
K00693	00500 01100 01110 04151 04152 04910 04922 04931 05415
K00694	00500 01100 02026
K00695	00500 01100 01110
K00696	00500 01100 01110
K00697	00500 01100 01110
K00698	00520 01100
K00699	00040 00053 00140 00830 00860 00980 00982 00983 01100 01110 01240 04976 05204 05207
K00700	00500 01100 01110
K00701	00500 01100
K00702	00500 01100
K00703	00500 01100 01110 02026
K00704	00052 01100
K00705	00500 01100 01110
K00706	00500 01100 04011
K00709	00601 01100
K00710	00512 00514 01100
K00712	00552
K00713	00540
K00714	04150 04310 04390 04550 04916 04934 05010 05022 05165 05200 05205 05217 05224 05225 05226
K00715	00604 01100
K00716	00601 01100
K00717	00510 00513 00533 01100 05202
K00718	00601 00603 01100
K00719	00601 00603 01100
K00720	00600 01100
K00721	00510 01100
K00722	00603 01100
K00725	00600 00604 01100
K00726	00510 00513 01100
K00727	00512 01100
K00728	00514 00515 01100
K00729	00510 01100
K00730	00510 00513 01100 04141
K00731	00512 00514 01100
K00733	00532 00534 01100
K00734	00532 00534 01100
K00735	00515 01100
K00736	00510 00513 01100
K00737	00510 01100
K00738	00510 00513 01100
K00739	00512 01100
K00741	00533 00601 01100
K00742	00601 01100
K00743	00601 01100
K00744	00510 01100
K00746	00532 01100
K00747	00532 01100
K00748	00540 01100
K00750	00500 01100 01110
K00753	00513 01100
K00756	00240 01100 01232
K00757	00240 00983 01100 01232
K00758	00240 00983 01100 01232 05219
K00759	00230 01100 01232
K00760	00230 00983 01100 01110 01232
K00761	00240 01100 01232
K00762	00240 01100 01240
K00763	00760 01100 01240
K00764	00230 00250 01100 01110
K00765	00340 01100 01110 01230
K00766	00400 01100 01110 01230
